cluster_id,author_label,annotation,state,CL_term,CL_term_id,confidence,author_label_similarity_score
1,0,Hair Follicle Epithelial Progenitor Cell (LGR6/LRIG1+),activated,hair follicle cell,CL_0002559,High,
2,1,Dermal Fibroblast (immune-orchestrating),activated,fibroblast of dermis,CL_0002551,High,
3,2,Epithelial Cell (E-Cadherin+ desmosomal),"stressed, activated",epithelial cell,CL_0000066,High,
4,3,Activated Endothelial Cell (partial EndMT),activated with partial EndMT,endothelial cell of vascular tree,CL_0002139,High,
5,4,ARG1+ Regulatory Macrophage (IRF5-dominant),"activated, stress-induced regulatory",macrophage,CL_0000235,Moderate,
6,5,Macrophage (TREM2+ ECM),"activated, lipid-associated, ECM-remodeling",lipid-associated macrophage,CL_4033086,High,
7,6,"Perivascular Mesenchymal Cell (NES+, ITGA7-high)","stressed, interferon-responsive, dedifferentiated",perivascular cell,CL_4033054,High,
8,7,"Suprabasal Keratinocyte (differentiating, DSC1+)","differentiating, stress-adapted",suprabasal keratinocyte,CL_4033013,High,
9,8,Activated Follicular Progenitor (LGR5+ proliferative),"activated, proliferating",progenitor cell,CL_0011026,Moderate,
10,9,GATA3+ CD3+ Lymphoid Cell,stress-adapted,innate lymphoid cell,CL_0001065,Moderate,
11,10,CD11b+ Myeloid Cell (phagocytic),activated,CD11b-positive dendritic cell,CL_0002465,Moderate,
12,11,Tissue-Resident Macrophage (F13A1+ reparative),reparative,lipid-associated macrophage,CL_4033086,High,
13,12,Epithelial Cell (DSC1+ DSP+ CLDN1+),stress-arrested,epithelial cell,CL_0000066,High,
14,13,Adventitial Fibroblast,activated,adventitial fibroblast,CL_4052030,High,
15,14,Epithelial Cell (hair follicle ORS),stressed,outer root sheath cell,CL_0002561,High,
16,15,Regulatory Macrophage (CD14+ FCGR1+),"immunosuppressive, stress-induced",macrophage,CL_0000235,Moderate,
17,16,Dermal Fibroblast (MMP2+ collagen),specialized collagen-secreting,skin fibroblast,CL_0002620,High,
18,17,Fibroblast (immune-modulatory),activated,fibroblast of dermis,CL_0002551,High,
19,18,Dermal Fibroblast (ER-stress),"activated, ER-stressed",fibroblast,CL_0000057,High,
20,19,Macrophage (M2-like ARG1+),"activated, immunoregulatory",macrophage,CL_0000235,High,
21,20,Interferon-Stimulated Myeloid Cell (type I),interferon-activated,myeloid cell,CL_0000763,Moderate,
22,21,Epithelial Cell (immune-modulatory transplanted),"activated, immune-responsive",epithelial cell,CL_0000066,High,
23,22,Reticular Fibroblast,paracrine-active,fibroblast of the reticular layer of dermis,CL_2000096,High,
24,23,"Basal Keratinocyte (proliferative, ITGB4+)",proliferative,basal cell of epidermis,CL_0002187,High,
25,24,Epithelial Cell (GATA3+ ER stress),"Stressed, metabolically active",epithelial cell,CL_0000066,Moderate,
26,25,Fibroblast (COL4A1+ dysregulated),"transcriptionally dysregulated, incompletely differentiated",fibroblast of dermis,CL_0002551,Moderate,
27,26,ARG1+ Macrophage-like Cell (ITGAM+ atypical),"stress-induced, activated",alternatively activated macrophage,CL_0000890,Low,
28,27,Basement Membrane-Associated Stromal Cell (COL1A2-dominant),activated,stromal cell,CL_0000499,Moderate,
29,28,Tolerogenic Monocyte-Derived Macrophage (MHC-II silenced),"tolerogenic, immune-evasive",monocyte-derived dendritic cell,CL_0011031,High,
30,29,Myeloid Cell (regulatory),"stress-adapted, regulatory",myeloid cell,CL_0000763,Moderate,
31,30,Stressed Endothelial Cell (PLVAP+ immature),"stressed, barrier-deficient",blood vessel endothelial cell,CL_0000071,High,
32,31,Activated Dermal Fibroblast (remodeling chemokine),activated,adventitial fibroblast,CL_4052030,High,
33,32,Fibroblast (Col1a2+ ECM),ECM-producing,fibroblast of dermis,CL_0002551,High,
34,33,Dermal Fibroblast (basement membrane),"activated, stress-associated",fibroblast,CL_0000057,High,
35,34,Stressed Myeloid Cell (ER stress),"stressed, activated",myeloid cell,CL_0000763,Moderate,
36,35,Immune-Infiltrated Epithelial Cell (myeloid co-expression),immune-activated,epithelial cell,CL_0000066,High,
37,36,Quiescent Stromal Cell (transcriptionally suppressed),quiescent,quiescent fibroblast,CL_4052071,Moderate,
